Democrat,Republican
17.46018817,46.4892298
27.528923,112.6013924
42.71137346,14.21048783
69.16594245,41.57453127
10.68292321,31.6925735
67.16664027,41.43685033
35.2009247,17.4651998
42.91042211,41.59574257
81.35730454,39.02189705
33.74028145,41.79961198
25.70936813,41.2614788
15.38356412,51.2887441
32.66548791,52.75456143
24.66783136,27.34835923
37.52581081,38.44798471
27.34938392,34.62942911
37.50297834,38.58323397
29.15578918,38.82846689
30.65398668,43.59562027
42.25956317,61.37894563
21.87708207,27.58617609
33.5147699,54.14884524
,23.30673852
,17.19605449
,32.6842945
,33.60226718
,41.56012561
,56.1503655